Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH06;        2020;          14;05.04.2020;0-64    ;          18;          15;           5;          25;           .
CH06;        2020;          15;12.04.2020;0-64    ;          16;          15;           5;          24;           .
CH06;        2020;          16;19.04.2020;0-64    ;          12;          14;           5;          24;           .
CH06;        2020;          17;26.04.2020;0-64    ;          18;          14;           5;          24;           .
CH06;        2020;          18;03.05.2020;0-64    ;          15;          14;           4;          24;           .
CH06;        2020;          19;10.05.2020;0-64    ;          13;          14;           4;          24;           .
CH06;        2020;          20;17.05.2020;0-64    ;          14;          14;           4;          24;           .
CH06;        2020;          21;24.05.2020;0-64    ;          14;          14;           4;          23;           .
CH06;        2020;          22;31.05.2020;0-64    ;          15;          14;           4;          23;           .
CH06;        2020;          23;07.06.2020;0-64    ;          12;          14;           4;          23;           .
CH06;        2020;          24;14.06.2020;0-64    ;          10;          14;           4;          23;           .
CH06;        2020;          25;21.06.2020;0-64    ;          14;          14;           4;          23;           .
CH06;        2020;          26;28.06.2020;0-64    ;          11;          14;           4;          23;           .
CH06;        2020;          27;05.07.2020;0-64    ;           8;          14;           4;          23;           .
CH06;        2020;          28;12.07.2020;0-64    ;          14;          14;           4;          23;           .
CH06;        2020;          29;19.07.2020;0-64    ;          16;          14;           4;          23;           .
CH06;        2020;          30;26.07.2020;0-64    ;          11;          14;           4;          23;           .
CH06;        2020;          31;02.08.2020;0-64    ;          18;          14;           4;          23;           .
CH06;        2020;          32;09.08.2020;0-64    ;          11;          14;           4;          23;           .
CH06;        2020;          33;16.08.2020;0-64    ;          21;          14;           4;          23;           .
CH06;        2020;          34;23.08.2020;0-64    ;          14;          14;           4;          23;           .
CH06;        2020;          35;30.08.2020;0-64    ;          13;          14;           4;          23;           .
CH06;        2020;          36;06.09.2020;0-64    ;          12;          14;           4;          23;           .
CH06;        2020;          37;13.09.2020;0-64    ;          20;          14;           4;          23;           .
CH06;        2020;          38;20.09.2020;0-64    ;          11;          14;           4;          23;           .
CH06;        2020;          39;27.09.2020;0-64    ;          16;          14;           4;          24;           .
CH06;        2020;          40;04.10.2020;0-64    ;          15;          14;           4;          24;           .
CH06;        2020;          41;11.10.2020;0-64    ;          11;          14;           4;          24;           .
CH06;        2020;          42;18.10.2020;0-64    ;          16;          14;           4;          24;           .
CH06;        2020;          43;25.10.2020;0-64    ;          13;          14;           4;          24;           .
CH06;        2020;          44;01.11.2020;0-64    ;          15;          14;           4;          24;           .
CH06;        2020;          45;08.11.2020;0-64    ;          24;          14;           5;          24;          10
CH06;        2020;          46;15.11.2020;0-64    ;          17;          14;           5;          24;           .
CH06;        2020;          47;22.11.2020;0-64    ;          14;          14;           5;          24;           .
CH06;        2020;          48;29.11.2020;0-64    ;          20;          14;           5;          24;           .
CH06;        2020;          49;06.12.2020;0-64    ;          23;          14;           5;          24;           .
CH06;        2020;          50;13.12.2020;0-64    ;          21;          15;           5;          24;           .
CH06;        2020;          51;20.12.2020;0-64    ;          15;          15;           5;          24;           .
CH06;        2020;          52;27.12.2020;0-64    ;          16;          15;           5;          25;           .
CH06;        2020;          53;03.01.2021;0-64    ;          26;          15;           5;          25;          11
CH06;        2021;           1;10.01.2021;0-64    ;           8;          16;           6;          27;           .
CH06;        2021;           2;17.01.2021;0-64    ;          24;          16;           6;          27;           .
CH06;        2021;           3;24.01.2021;0-64    ;          25;          16;           6;          26;           .
CH06;        2021;           4;31.01.2021;0-64    ;          13;          16;           6;          26;           .
CH06;        2021;           5;07.02.2021;0-64    ;          18;          16;           6;          26;           .
CH06;        2021;           6;14.02.2021;0-64    ;          14;          16;           5;          26;           .
CH06;        2021;           7;21.02.2021;0-64    ;          19;          16;           5;          26;           .
CH06;        2021;           8;28.02.2021;0-64    ;          16;          15;           5;          26;           .
CH06;        2021;           9;07.03.2021;0-64    ;          11;          15;           5;          25;           .
CH06;        2021;          10;14.03.2021;0-64    ;          18;          15;           5;          25;           .
CH06;        2021;          11;21.03.2021;0-64    ;          14;          15;           5;          25;           .
CH06;        2021;          12;28.03.2021;0-64    ;          11;          15;           5;          25;           .
CH06;        2021;          13;04.04.2021;0-64    ;          18;          15;           5;          25;           .
CH06;        2021;          14;11.04.2021;0-64    ;          13;          15;           5;          25;           .
CH06;        2021;          15;18.04.2021;0-64    ;           8;          15;           5;          24;           .
CH06;        2021;          16;25.04.2021;0-64    ;          14;          14;           5;          24;           .
CH06;        2021;          17;02.05.2021;0-64    ;          15;          14;           5;          24;           .
CH06;        2021;          18;09.05.2021;0-64    ;          16;          14;           4;          24;           .
CH06;        2021;          19;16.05.2021;0-64    ;          15;          14;           4;          24;           .
CH06;        2021;          20;23.05.2021;0-64    ;          14;          14;           4;          24;           .
CH06;        2021;          21;30.05.2021;0-64    ;          16;          14;           4;          23;           .
CH06;        2021;          22;06.06.2021;0-64    ;          18;          14;           4;          23;           .
CH06;        2021;          23;13.06.2021;0-64    ;          18;          14;           4;          23;           .
CH06;        2021;          24;20.06.2021;0-64    ;          15;          14;           4;          23;           .
CH06;        2021;          25;27.06.2021;0-64    ;          19;          14;           4;          23;           .
CH06;        2021;          26;04.07.2021;0-64    ;          15;          14;           4;          23;           .
CH06;        2021;          27;11.07.2021;0-64    ;          14;          14;           4;          23;           .
CH06;        2021;          28;18.07.2021;0-64    ;          14;          14;           4;          23;           .
CH06;        2021;          29;25.07.2021;0-64    ;          13;          14;           4;          23;           .
CH06;        2021;          30;01.08.2021;0-64    ;           6;          14;           4;          23;           .
CH06;        2021;          31;08.08.2021;0-64    ;          16;          14;           4;          23;           .
CH06;        2021;          32;15.08.2021;0-64    ;          26;          14;           4;          23;          12
CH06;        2021;          33;22.08.2021;0-64    ;           8;          14;           4;          23;           .
CH06;        2021;          34;29.08.2021;0-64    ;          16;          14;           4;          23;           .
CH06;        2021;          35;05.09.2021;0-64    ;           7;          14;           4;          23;           .
CH06;        2021;          36;12.09.2021;0-64    ;          17;          14;           4;          23;           .
CH06;        2021;          37;19.09.2021;0-64    ;          13;          14;           4;          23;           .
CH06;        2021;          38;26.09.2021;0-64    ;          18;          14;           4;          23;           .
CH06;        2021;          39;03.10.2021;0-64    ;          14;          14;           4;          24;           .
CH06;        2021;          40;10.10.2021;0-64    ;          20;          14;           4;          24;           .
CH06;        2021;          41;17.10.2021;0-64    ;          11;          14;           4;          24;           .
CH06;        2021;          42;24.10.2021;0-64    ;          14;          14;           4;          24;           .
CH06;        2021;          43;31.10.2021;0-64    ;          19;          14;           4;          24;           .
CH06;        2021;          44;07.11.2021;0-64    ;          16;          14;           4;          24;           .
CH06;        2021;          45;14.11.2021;0-64    ;          17;          14;           5;          24;           .
CH06;        2021;          46;21.11.2021;0-64    ;           7;          14;           5;          24;           .
CH06;        2021;          47;28.11.2021;0-64    ;          21;          14;           5;          24;           .
CH06;        2021;          48;05.12.2021;0-64    ;           9;          14;           5;          24;           .
CH06;        2021;          49;12.12.2021;0-64    ;          10;          14;           5;          24;           .
CH06;        2021;          50;19.12.2021;0-64    ;          22;          15;           5;          24;           .
CH06;        2021;          51;26.12.2021;0-64    ;          17;          15;           5;          24;           .
CH06;        2021;          52;02.01.2022;0-64    ;        18.6;          15;           5;          25;           .
CH06;        2022;           1;09.01.2022;0-64    ;        12.8;          18;           8;          30;           .
CH06;        2022;           2;16.01.2022;0-64    ;        20.7;          18;           8;          29;           .
CH06;        2022;           3;23.01.2022;0-64    ;        21.3;          18;           8;          29;           .
CH06;        2022;           4;30.01.2022;0-64    ;        15.2;          17;           8;          29;           .
CH06;        2022;           5;06.02.2022;0-64    ;           .;          17;           8;          29;           .
CH06;        2022;           6;13.02.2022;0-64    ;           .;          17;           7;          29;           .
CH06;        2022;           7;20.02.2022;0-64    ;           .;          17;           7;          28;           .
CH06;        2022;           8;27.02.2022;0-64    ;           .;          17;           7;          28;           .
CH06;        2022;           9;06.03.2022;0-64    ;           .;          17;           7;          28;           .
CH06;        2022;          10;13.03.2022;0-64    ;           .;          16;           7;          28;           .
CH06;        2022;          11;20.03.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          12;27.03.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          13;03.04.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          14;10.04.2022;0-64    ;           .;          16;           6;          27;           .
CH06;        2022;          15;17.04.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          16;24.04.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          17;01.05.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          18;08.05.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          19;15.05.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          20;22.05.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          21;29.05.2022;0-64    ;           .;          15;           6;          25;           .
CH06;        2022;          22;05.06.2022;0-64    ;           .;          15;           6;          25;           .
CH06;        2022;          23;12.06.2022;0-64    ;           .;          15;           6;          25;           .
CH06;        2022;          24;19.06.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          25;26.06.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          26;03.07.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          27;10.07.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          28;17.07.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          29;24.07.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          30;31.07.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          31;07.08.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          32;14.08.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          33;21.08.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          34;28.08.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          35;04.09.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          36;11.09.2022;0-64    ;           .;          14;           6;          25;           .
CH06;        2022;          37;18.09.2022;0-64    ;           .;          15;           6;          25;           .
CH06;        2022;          38;25.09.2022;0-64    ;           .;          15;           6;          25;           .
CH06;        2022;          39;02.10.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          40;09.10.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          41;16.10.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          42;23.10.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          43;30.10.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          44;06.11.2022;0-64    ;           .;          15;           6;          26;           .
CH06;        2022;          45;13.11.2022;0-64    ;           .;          16;           6;          27;           .
CH06;        2022;          46;20.11.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          47;27.11.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          48;04.12.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          49;11.12.2022;0-64    ;           .;          16;           7;          27;           .
CH06;        2022;          50;18.12.2022;0-64    ;           .;          16;           7;          28;           .
CH06;        2022;          51;25.12.2022;0-64    ;           .;          17;           7;          28;           .
CH06;        2022;          52;01.01.2023;0-64    ;           .;          17;           7;          28;           .
CH07;        2020;           1;05.01.2020;0-64    ;           4;           6;           0;          12;           .
CH07;        2020;           2;12.01.2020;0-64    ;           7;           6;           0;          12;           .
CH07;        2020;           3;19.01.2020;0-64    ;           5;           6;           0;          12;           .
CH07;        2020;           4;26.01.2020;0-64    ;           5;           6;           0;          13;           .
CH07;        2020;           5;02.02.2020;0-64    ;           7;           6;           0;          13;           .
CH07;        2020;           6;09.02.2020;0-64    ;           7;           6;           0;          13;           .
CH07;        2020;           7;16.02.2020;0-64    ;           4;           7;           0;          13;           .
CH07;        2020;           8;23.02.2020;0-64    ;           7;           7;           0;          13;           .
CH07;        2020;           9;01.03.2020;0-64    ;           6;           7;           0;          14;           .
CH07;        2020;          10;08.03.2020;0-64    ;           5;           7;           0;          13;           .
CH07;        2020;          11;15.03.2020;0-64    ;           5;           7;           0;          13;           .
CH07;        2020;          12;22.03.2020;0-64    ;          10;           7;           0;          13;           .
CH07;        2020;          13;29.03.2020;0-64    ;          10;           7;           0;          13;           .
CH07;        2020;          14;05.04.2020;0-64    ;           6;           7;           0;          13;           .
CH07;        2020;          15;12.04.2020;0-64    ;           7;           6;           0;          13;           .
CH07;        2020;          16;19.04.2020;0-64    ;          13;           6;           0;          13;           7
CH07;        2020;          17;26.04.2020;0-64    ;          12;           6;           0;          12;           .
CH07;        2020;          18;03.05.2020;0-64    ;           5;           6;           0;          12;           .
CH07;        2020;          19;10.05.2020;0-64    ;          10;           6;           0;          12;           .
CH07;        2020;          20;17.05.2020;0-64    ;          16;           6;           0;          12;          10
CH07;        2020;          21;24.05.2020;0-64    ;           7;           6;           0;          12;           .
CH07;        2020;          22;31.05.2020;0-64    ;           0;           6;           0;          12;           .
CH07;        2020;          23;07.06.2020;0-64    ;           7;           6;           0;          12;           .
CH07;        2020;          24;14.06.2020;0-64    ;           7;           6;           0;          12;           .
CH07;        2020;          25;21.06.2020;0-64    ;           6;           6;           0;          12;           .
CH07;        2020;          26;28.06.2020;0-64    ;           5;           6;           0;          12;           .
CH07;        2020;          27;05.07.2020;0-64    ;           5;           6;           0;          12;           .
CH07;        2020;          28;12.07.2020;0-64    ;           8;           6;           0;          12;           .
CH07;        2020;          29;19.07.2020;0-64    ;           1;           6;           0;          12;           .
CH07;        2020;          30;26.07.2020;0-64    ;           7;           6;           0;          12;           .
CH07;        2020;          31;02.08.2020;0-64    ;          11;           6;           0;          12;           .
CH07;        2020;          32;09.08.2020;0-64    ;          11;           6;           0;          12;           .
CH07;        2020;          33;16.08.2020;0-64    ;           8;           6;           0;          12;           .
CH07;        2020;          34;23.08.2020;0-64    ;           8;           6;           0;          12;           .
CH07;        2020;          35;30.08.2020;0-64    ;           4;           6;           0;          12;           .
CH07;        2020;          36;06.09.2020;0-64    ;           4;           6;           0;          12;           .
CH07;        2020;          37;13.09.2020;0-64    ;           3;           6;           0;          12;           .
CH07;        2020;          38;20.09.2020;0-64    ;           6;           6;           0;          12;           .
CH07;        2020;          39;27.09.2020;0-64    ;           8;           6;           0;          12;           .
CH07;        2020;          40;04.10.2020;0-64    ;          11;           6;           0;          13;           .
CH07;        2020;          41;11.10.2020;0-64    ;           7;           6;           0;          13;           .
CH07;        2020;          42;18.10.2020;0-64    ;           4;           6;           0;          13;           .
CH07;        2020;          43;25.10.2020;0-64    ;          16;           6;           0;          13;          10
CH07;        2020;          44;01.11.2020;0-64    ;           6;           6;           0;          13;           .
CH07;        2020;          45;08.11.2020;0-64    ;           6;           6;           0;          12;           .
CH07;        2020;          46;15.11.2020;0-64    ;          14;           6;           0;          12;           8
CH07;        2020;          47;22.11.2020;0-64    ;           7;           6;           0;          12;           .
CH07;        2020;          48;29.11.2020;0-64    ;           4;           6;           0;          12;           .
CH07;        2020;          49;06.12.2020;0-64    ;           8;           5;           0;          11;           .
CH07;        2020;          50;13.12.2020;0-64    ;           7;           5;           0;          11;           .
CH07;        2020;          51;20.12.2020;0-64    ;          11;           5;           0;          11;           6
CH07;        2020;          52;27.12.2020;0-64    ;          11;           5;           0;          10;           6
CH07;        2020;          53;03.01.2021;0-64    ;           6;           5;           0;          10;           .
CH07;        2021;           1;10.01.2021;0-64    ;           6;           6;           0;          12;           .
CH07;        2021;           2;17.01.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;           3;24.01.2021;0-64    ;           4;           6;           0;          12;           .
CH07;        2021;           4;31.01.2021;0-64    ;           9;           6;           0;          13;           .
CH07;        2021;           5;07.02.2021;0-64    ;          13;           6;           0;          13;           7
CH07;        2021;           6;14.02.2021;0-64    ;           9;           6;           0;          13;           .
CH07;        2021;           7;21.02.2021;0-64    ;           3;           7;           0;          13;           .
CH07;        2021;           8;28.02.2021;0-64    ;           4;           7;           0;          13;           .
CH07;        2021;           9;07.03.2021;0-64    ;           9;           7;           0;          14;           .
CH07;        2021;          10;14.03.2021;0-64    ;           3;           7;           0;          13;           .
CH07;        2021;          11;21.03.2021;0-64    ;           7;           7;           0;          13;           .
CH07;        2021;          12;28.03.2021;0-64    ;           9;           7;           0;          13;           .
CH07;        2021;          13;04.04.2021;0-64    ;           6;           7;           0;          13;           .
CH07;        2021;          14;11.04.2021;0-64    ;           5;           7;           0;          13;           .
CH07;        2021;          15;18.04.2021;0-64    ;           8;           6;           0;          13;           .
CH07;        2021;          16;25.04.2021;0-64    ;           4;           6;           0;          13;           .
CH07;        2021;          17;02.05.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;          18;09.05.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;          19;16.05.2021;0-64    ;           7;           6;           0;          12;           .
CH07;        2021;          20;23.05.2021;0-64    ;           7;           6;           0;          12;           .
CH07;        2021;          21;30.05.2021;0-64    ;           4;           6;           0;          12;           .
CH07;        2021;          22;06.06.2021;0-64    ;           5;           6;           0;          12;           .
CH07;        2021;          23;13.06.2021;0-64    ;           5;           6;           0;          12;           .
CH07;        2021;          24;20.06.2021;0-64    ;           4;           6;           0;          12;           .
CH07;        2021;          25;27.06.2021;0-64    ;           8;           6;           0;          12;           .
CH07;        2021;          26;04.07.2021;0-64    ;           7;           6;           0;          12;           .
CH07;        2021;          27;11.07.2021;0-64    ;           8;           6;           0;          12;           .
CH07;        2021;          28;18.07.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;          29;25.07.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;          30;01.08.2021;0-64    ;           5;           6;           0;          12;           .
CH07;        2021;          31;08.08.2021;0-64    ;          10;           6;           0;          12;           .
CH07;        2021;          32;15.08.2021;0-64    ;           4;           6;           0;          12;           .
CH07;        2021;          33;22.08.2021;0-64    ;           3;           6;           0;          12;           .
CH07;        2021;          34;29.08.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;          35;05.09.2021;0-64    ;           6;           6;           0;          12;           .
CH07;        2021;          36;12.09.2021;0-64    ;           2;           6;           0;          12;           .
CH07;        2021;          37;19.09.2021;0-64    ;           6;           6;           0;          12;           .
CH07;        2021;          38;26.09.2021;0-64    ;           9;           6;           0;          12;           .
CH07;        2021;          39;03.10.2021;0-64    ;           7;           6;           0;          12;           .
CH07;        2021;          40;10.10.2021;0-64    ;           1;           6;           0;          13;           .
CH07;        2021;          41;17.10.2021;0-64    ;           6;           6;           0;          13;           .
CH07;        2021;          42;24.10.2021;0-64    ;           8;           6;           0;          13;           .
CH07;        2021;          43;31.10.2021;0-64    ;           4;           6;           0;          13;           .
CH07;        2021;          44;07.11.2021;0-64    ;           5;           6;           0;          13;           .
CH07;        2021;          45;14.11.2021;0-64    ;           8;           6;           0;          12;           .
CH07;        2021;          46;21.11.2021;0-64    ;           3;           6;           0;          12;           .
CH07;        2021;          47;28.11.2021;0-64    ;           5;           6;           0;          12;           .
CH07;        2021;          48;05.12.2021;0-64    ;           3;           6;           0;          12;           .
CH07;        2021;          49;12.12.2021;0-64    ;           7;           5;           0;          11;           .
CH07;        2021;          50;19.12.2021;0-64    ;          10;           5;           0;          11;           .
CH07;        2021;          51;26.12.2021;0-64    ;          12;           5;           0;          11;           7
CH07;        2021;          52;02.01.2022;0-64    ;         7.3;           5;           0;          10;           .
CH07;        2022;           1;09.01.2022;0-64    ;         4.2;           6;           1;          14;           .
CH07;        2022;           2;16.01.2022;0-64    ;         7.4;           7;           1;          14;           .
CH07;        2022;           3;23.01.2022;0-64    ;         8.6;           7;           1;          14;           .
CH07;        2022;           4;30.01.2022;0-64    ;         7.8;           7;           1;          15;           .
CH07;        2022;           5;06.02.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;           6;13.02.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;           7;20.02.2022;0-64    ;           .;           8;           2;          15;           .
CH07;        2022;           8;27.02.2022;0-64    ;           .;           8;           2;          16;           .
CH07;        2022;           9;06.03.2022;0-64    ;           .;           8;           2;          16;           .
CH07;        2022;          10;13.03.2022;0-64    ;           .;           8;           2;          16;           .
CH07;        2022;          11;20.03.2022;0-64    ;           .;           8;           2;          16;           .
CH07;        2022;          12;27.03.2022;0-64    ;           .;           8;           2;          16;           .
CH07;        2022;          13;03.04.2022;0-64    ;           .;           8;           2;          16;           .
CH07;        2022;          14;10.04.2022;0-64    ;           .;           7;           2;          15;           .
CH07;        2022;          15;17.04.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          16;24.04.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          17;01.05.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          18;08.05.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          19;15.05.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          20;22.05.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          21;29.05.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          22;05.06.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          23;12.06.2022;0-64    ;           .;           6;           1;          13;           .
CH07;        2022;          24;19.06.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          25;26.06.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          26;03.07.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          27;10.07.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          28;17.07.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          29;24.07.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          30;31.07.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          31;07.08.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          32;14.08.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          33;21.08.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          34;28.08.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          35;04.09.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          36;11.09.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          37;18.09.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          38;25.09.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          39;02.10.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          40;09.10.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          41;16.10.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          42;23.10.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          43;30.10.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          44;06.11.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          45;13.11.2022;0-64    ;           .;           7;           1;          15;           .
CH07;        2022;          46;20.11.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          47;27.11.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          48;04.12.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          49;11.12.2022;0-64    ;           .;           7;           1;          14;           .
CH07;        2022;          50;18.12.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          51;25.12.2022;0-64    ;           .;           6;           1;          14;           .
CH07;        2022;          52;01.01.2023;0-64    ;           .;           6;           1;          14;           .
#
# Region NUTS2 (Nomenclature of Territorial Units for Statistics)
# Year: Year of the calendar week according to ISO 8601
# Week: Calendar week according to ISO 8601
# Ending: Last day of the week (Sunday)
# Age: Age in completed years
# NoDeaths_EP: Number of deaths in Switzerland of persons residing in Switzerland with extrapolation for the last 40 days
# Expected: Number of deaths expected this week compared to the same week in previous years
# LowerB: Lower limit of the expected range at 99% of the expected value
# UpperB: Upper limit of the expected range at 99% of the expected value
# Diff: Weeks when the number of deaths exceeds the upper limit of the expected range, the difference between the observed minus the expected number is shown
#
