"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W01";"CH";"_T";"T";"P";1535
"2022-W01";"CH";"_T";"F";"P";769
"2022-W01";"CH";"_T";"M";"P";766
"2022-W01";"CH";"Y0T4";"T";"P";4
"2022-W01";"CH";"Y0T4";"F";"P";3
"2022-W01";"CH";"Y0T4";"M";"P";1
"2022-W01";"CH";"Y5T9";"T";"P";1
"2022-W01";"CH";"Y5T9";"M";"P";1
"2022-W01";"CH";"Y15T19";"T";"P";2
"2022-W01";"CH";"Y15T19";"F";"P";1
"2022-W01";"CH";"Y15T19";"M";"P";1
"2022-W01";"CH";"Y20T24";"T";"P";1
"2022-W01";"CH";"Y20T24";"M";"P";1
"2022-W01";"CH";"Y25T29";"T";"P";6
"2022-W01";"CH";"Y25T29";"M";"P";6
"2022-W01";"CH";"Y30T34";"T";"P";5
"2022-W01";"CH";"Y30T34";"F";"P";1
"2022-W01";"CH";"Y30T34";"M";"P";4
"2022-W01";"CH";"Y35T39";"T";"P";6
"2022-W01";"CH";"Y35T39";"F";"P";2
"2022-W01";"CH";"Y35T39";"M";"P";4
"2022-W01";"CH";"Y40T44";"T";"P";13
"2022-W01";"CH";"Y40T44";"F";"P";3
"2022-W01";"CH";"Y40T44";"M";"P";10
"2022-W01";"CH";"Y45T49";"T";"P";11
"2022-W01";"CH";"Y45T49";"F";"P";5
"2022-W01";"CH";"Y45T49";"M";"P";6
"2022-W01";"CH";"Y50T54";"T";"P";17
"2022-W01";"CH";"Y50T54";"F";"P";5
"2022-W01";"CH";"Y50T54";"M";"P";12
"2022-W01";"CH";"Y55T59";"T";"P";33
"2022-W01";"CH";"Y55T59";"F";"P";13
"2022-W01";"CH";"Y55T59";"M";"P";20
"2022-W01";"CH";"Y60T64";"T";"P";57
"2022-W01";"CH";"Y60T64";"F";"P";25
"2022-W01";"CH";"Y60T64";"M";"P";32
"2022-W01";"CH";"Y65T69";"T";"P";82
"2022-W01";"CH";"Y65T69";"F";"P";39
"2022-W01";"CH";"Y65T69";"M";"P";43
"2022-W01";"CH";"Y70T74";"T";"P";134
"2022-W01";"CH";"Y70T74";"F";"P";48
"2022-W01";"CH";"Y70T74";"M";"P";86
"2022-W01";"CH";"Y75T79";"T";"P";185
"2022-W01";"CH";"Y75T79";"F";"P";75
"2022-W01";"CH";"Y75T79";"M";"P";110
"2022-W01";"CH";"Y80T84";"T";"P";219
"2022-W01";"CH";"Y80T84";"F";"P";95
"2022-W01";"CH";"Y80T84";"M";"P";124
"2022-W01";"CH";"Y85T89";"T";"P";308
"2022-W01";"CH";"Y85T89";"F";"P";165
"2022-W01";"CH";"Y85T89";"M";"P";143
"2022-W01";"CH";"Y_GE90";"T";"P";451
"2022-W01";"CH";"Y_GE90";"F";"P";289
"2022-W01";"CH";"Y_GE90";"M";"P";162
"2022-W01";"CH011";"_T";"T";"P";132
"2022-W01";"CH011";"_T";"F";"P";67
"2022-W01";"CH011";"_T";"M";"P";65
"2022-W01";"CH011";"Y15T19";"T";"P";1
"2022-W01";"CH011";"Y15T19";"M";"P";1
"2022-W01";"CH011";"Y25T29";"T";"P";1
"2022-W01";"CH011";"Y25T29";"M";"P";1
"2022-W01";"CH011";"Y45T49";"T";"P";2
"2022-W01";"CH011";"Y45T49";"M";"P";2
"2022-W01";"CH011";"Y50T54";"T";"P";2
"2022-W01";"CH011";"Y50T54";"M";"P";2
"2022-W01";"CH011";"Y55T59";"T";"P";1
"2022-W01";"CH011";"Y55T59";"F";"P";1
"2022-W01";"CH011";"Y60T64";"T";"P";6
"2022-W01";"CH011";"Y60T64";"F";"P";2
"2022-W01";"CH011";"Y60T64";"M";"P";4
"2022-W01";"CH011";"Y65T69";"T";"P";6
"2022-W01";"CH011";"Y65T69";"F";"P";4
"2022-W01";"CH011";"Y65T69";"M";"P";2
"2022-W01";"CH011";"Y70T74";"T";"P";10
"2022-W01";"CH011";"Y70T74";"F";"P";3
"2022-W01";"CH011";"Y70T74";"M";"P";7
"2022-W01";"CH011";"Y75T79";"T";"P";14
"2022-W01";"CH011";"Y75T79";"F";"P";7
"2022-W01";"CH011";"Y75T79";"M";"P";7
"2022-W01";"CH011";"Y80T84";"T";"P";24
"2022-W01";"CH011";"Y80T84";"F";"P";14
"2022-W01";"CH011";"Y80T84";"M";"P";10
"2022-W01";"CH011";"Y85T89";"T";"P";24
"2022-W01";"CH011";"Y85T89";"F";"P";10
"2022-W01";"CH011";"Y85T89";"M";"P";14
"2022-W01";"CH011";"Y_GE90";"T";"P";41
"2022-W01";"CH011";"Y_GE90";"F";"P";26
"2022-W01";"CH011";"Y_GE90";"M";"P";15
"2022-W01";"CH012";"_T";"T";"P";65
"2022-W01";"CH012";"_T";"F";"P";33
"2022-W01";"CH012";"_T";"M";"P";32
"2022-W01";"CH012";"Y25T29";"T";"P";1
"2022-W01";"CH012";"Y25T29";"M";"P";1
"2022-W01";"CH012";"Y40T44";"T";"P";1
"2022-W01";"CH012";"Y40T44";"M";"P";1
"2022-W01";"CH012";"Y50T54";"T";"P";1
"2022-W01";"CH012";"Y50T54";"M";"P";1
"2022-W01";"CH012";"Y55T59";"T";"P";1
"2022-W01";"CH012";"Y55T59";"F";"P";1
